"emocount","adj.date","x","country","emotion"
"ALL",2016-07-28 18:57:00,172,"All","All"
"ALL",2016-07-28 18:56:00,167,"All","All"
"EUROPE",2016-07-28 18:56:00,101,"europe","All"
"CANADA",2016-07-28 18:57:00,95,"canada","All"
"EUROPE",2016-07-28 18:57:00,77,"europe","All"
"CANADA",2016-07-28 18:56:00,66,"canada","All"
"ALL",2016-07-28 18:55:00,20,"All","All"
"CANADA",2016-07-28 18:55:00,15,"canada","All"
"EUROPE",2016-07-28 18:55:00,5,"europe","All"
